Dataset: Yeast,,,,,,,,,,
Preprocessor,Boosters,Precision,Recall,F1,G-mean,MMCC,Kappa,Weighted Accuracy,PR Score,Balanced Accuracy
standard,LogitBoost,0.695869049176189,0.527681675050096,0.48341292438371,0.591632676076042,0.433928983367091,0.355585661961889,0.527681675050096,0.695869049176189,0.49708070075001
standard,MEBoost,0.783947489005684,0.323457244509876,0.16391486138699,0.183655232641627,0.100860734291132,0.0225997601383648,0.323457244509876,0.783947489005684,0.246461251167133
standard,AdaBoost,0.648505467915173,0.597742608268924,0.5817426607191,0.610640699259731,0.485642093646125,0.465722028129858,0.597742608268924,0.648505467915173,0.53386383592739
standard,RUSBoost,0.714117487522133,0.403642361537098,0.256271068356135,0.260705188155789,0.26671324585572,0.191313181226627,0.403642361537098,0.714117487522133,0.215879610234448
standard,GradientBoostingClassifier,0.657629672392078,0.584943905996537,0.566172233066028,0.606632169782464,0.465813015588063,0.441653167581604,0.584943905996537,0.657629672392078,0.467553238581094
minmax,LogitBoost,0.669017952594392,0.503406534985482,0.455522209080768,0.566016629371021,0.398068127072992,0.320571488386542,0.503406534985482,0.669017952594392,0.455798824326873
minmax,MEBoost,0.744473309382946,0.323458607669134,0.167758340029351,0.341973125631385,0.0902880425220978,0.0225092448901403,0.323458607669134,0.744473309382946,0.214198818259539
minmax,AdaBoost,0.633897549046916,0.584262326367589,0.56543179670737,0.596608686055608,0.468197884133762,0.447850798188938,0.584262326367589,0.633897549046916,0.500355523856986
minmax,RUSBoost,0.713771667520469,0.404987799724641,0.257539855876197,0.270656623781394,0.269065143018709,0.192949907780622,0.404987799724641,0.713771667520469,0.218446455154235
minmax,GradientBoostingClassifier,0.651502717786858,0.575504028135607,0.555274291622529,0.598697963739023,0.454169806365757,0.428425692679644,0.575504028135607,0.651502717786858,0.442034558402916
robust,LogitBoost,0.696635370986367,0.530382093539988,0.486577917223173,0.593615223329322,0.43714239101029,0.35953932866134,0.530382093539988,0.696635370986367,0.500656471384604
robust,MEBoost,0.783149241910367,0.323457244509876,0.165288147093663,0.360965826297593,0.0954990477492812,0.0224599546909376,0.323457244509876,0.783149241910367,0.228868607673161
robust,AdaBoost,0.64649400882515,0.599762810289126,0.584533670093936,0.610705706408279,0.486948358029363,0.469158209771563,0.599762810289126,0.64649400882515,0.537337510642895
robust,RUSBoost,0.713974991043663,0.404315762210499,0.256412904699764,0.260714693198936,0.267953893269683,0.192111674972639,0.404315762210499,0.713974991043663,0.216485670840509
robust,GradientBoostingClassifier,0.655786139071572,0.586294796821112,0.567674261636209,0.606496196426568,0.466022138780092,0.443359392391228,0.586294796821112,0.655786139071572,0.464115026719943
normalizer,LogitBoost,0.720838282072974,0.562056462056462,0.526533013373104,0.628709132513288,0.479818762592418,0.408106516685857,0.562056462056462,0.720838282072974,0.575046875692268
normalizer,MEBoost,0.768327527337549,0.323461333987649,0.170275432055482,0.369477515717982,0.0782279214894612,0.0219374924223233,0.323461333987649,0.768327527337549,0.146217320446711
normalizer,AdaBoost,0.657168993564188,0.59842555105713,0.587079095957944,0.616786800314902,0.488194695896925,0.466756804295381,0.59842555105713,0.657168993564188,0.553969022115301
normalizer,RUSBoost,0.561331005323582,0.38546054335528,0.29299121228871,0.451878383060887,0.236666536492242,0.194078148078523,0.38546054335528,0.561331005323582,0.330272183478371
