Dataset: Yeast;;;;;;;;;;
Preprocessor;Boosters;Precision;Recall;F1;G-mean;MMCC;Kappa;Weighted Accuracy;PR Score;Balanced Accuracy
standard;LogitBoost;0,696;0,528;0,483;0,592;0,434;0,356;0,528;0,696;0,497
standard;MEBoost;0,784;0,323;0,164;0,184;0,101;0,023;0,323;0,784;0,246
standard;AdaBoost;0,649;0,598;0,582;0,611;0,486;0,466;0,598;0,649;0,534
standard;RUSBoost;0,714;0,404;0,256;0,261;0,267;0,191;0,404;0,714;0,216
standard;GradientBoostingClassifier;0,658;0,585;0,566;0,607;0,466;0,442;0,585;0,658;0,468
minmax;LogitBoost;0,669;0,503;0,456;0,566;0,398;0,321;0,503;0,669;0,456
minmax;MEBoost;0,744;0,323;0,168;0,342;0,090;0,023;0,323;0,744;0,214
minmax;AdaBoost;0,634;0,584;0,565;0,597;0,468;0,448;0,584;0,634;0,500
minmax;RUSBoost;0,714;0,405;0,258;0,271;0,269;0,193;0,405;0,714;0,218
minmax;GradientBoostingClassifier;0,652;0,576;0,555;0,599;0,454;0,428;0,576;0,652;0,442
robust;LogitBoost;0,697;0,530;0,487;0,594;0,437;0,360;0,530;0,697;0,501
robust;MEBoost;0,783;0,323;0,165;0,361;0,095;0,022;0,323;0,783;0,229
robust;AdaBoost;0,646;0,600;0,585;0,611;0,487;0,469;0,600;0,646;0,537
robust;RUSBoost;0,714;0,404;0,256;0,261;0,268;0,192;0,404;0,714;0,216
robust;GradientBoostingClassifier;0,656;0,586;0,568;0,606;0,466;0,443;0,586;0,656;0,464
normalizer;LogitBoost;0,721;0,562;0,527;0,629;0,480;0,408;0,562;0,721;0,575
normalizer;MEBoost;0,768;0,323;0,170;0,369;0,078;0,022;0,323;0,768;0,146
normalizer;AdaBoost;0,657;0,598;0,587;0,617;0,488;0,467;0,598;0,657;0,554
normalizer;RUSBoost;0,561;0,385;0,293;0,452;0,237;0,194;0,385;0,561;0,330
normalizer;GradientBoostingClassifier;0,673;0,592;0,586;0,621;0,474;0,449;0,592;0,673;0,497
power;LogitBoost;0,683;0,529;0,485;0,589;0,434;0,357;0,529;0,683;0,457
power;MEBoost;0,774;0,330;0,173;0,302;0,095;0,038;0,330;0,774;0,179
power;AdaBoost;0,640;0,593;0,577;0,604;0,478;0,460;0,593;0,640;0,495
power;RUSBoost;0,710;0,401;0,254;0,258;0,263;0,189;0,401;0,710;0,203
power;GradientBoostingClassifier;0,648;0,578;0,559;0,597;0,455;0,432;0,578;0,648;0,384
quantile;LogitBoost;0,691;0,523;0,477;0,584;0,428;0,349;0,523;0,691;0,490
quantile;MEBoost;0,689;0,327;0,175;0,332;0,088;0,029;0,327;0,689;0,207
quantile;AdaBoost;0,649;0,598;0,581;0,611;0,486;0,466;0,598;0,649;0,532
quantile;RUSBoost;0,714;0,404;0,256;0,261;0,267;0,191;0,404;0,714;0,216
quantile;GradientBoostingClassifier;0,655;0,582;0,563;0,604;0,462;0,438;0,582;0,655;0,461
polynomial;LogitBoost;0,696;0,577;0,540;0,626;0,493;0,431;0,577;0,696;0,595
polynomial;MEBoost;0,683;0,326;0,173;0,262;0,101;0,030;0,326;0,683;0,245
polynomial;AdaBoost;0,635;0,597;0,581;0,607;0,486;0,468;0,597;0,635;0,553
polynomial;RUSBoost;0,700;0,408;0,265;0,278;0,275;0,198;0,408;0,700;0,231
polynomial;GradientBoostingClassifier;0,681;0,623;0,611;0,640;0,518;0,498;0,623;0,681;0,555
kbins;LogitBoost;0,684;0,429;0,350;0,511;0,303;0,201;0,429;0,684;0,343
kbins;MEBoost;0,783;0,321;0,162;0,240;0,090;0,019;0,321;0,783;0,214
kbins;AdaBoost;0,616;0,493;0,460;0,537;0,360;0,305;0,493;0,616;0,398
kbins;RUSBoost;0,684;0,356;0,250;0,280;0,180;0,140;0,356;0,684;0,330
kbins;GradientBoostingClassifier;0,643;0,493;0,457;0,529;0,360;0,303;0,493;0,643;0,299
Dataset: Wine;;;;;;;;;;
Preprocessor;Boosters;Precision;Recall;F1;G-mean;MMCC;Kappa;Weighted Accuracy;PR Score;Balanced Accuracy
standard;LogitBoost;0,960;0,955;0,956;0,958;0,934;0,932;0,955;0,960;0,960
standard;MEBoost;0,918;0,871;0,873;0,893;0,829;0,806;0,871;0,918;0,879
standard;AdaBoost;0,983;0,983;0,983;0,983;0,975;0,975;0,983;0,983;0,985
standard;RUSBoost;0,921;0,904;0,903;0,912;0,865;0,856;0,904;0,921;0,915
standard;GradientBoostingClassifier;0,981;0,978;0,978;0,980;0,968;0,966;0,978;0,981;0,981
minmax;LogitBoost;0,941;0,933;0,933;0,937;0,902;0,898;0,933;0,941;0,940
minmax;MEBoost;0,899;0,866;0,868;0,882;0,811;0,796;0,866;0,899;0,869
minmax;AdaBoost;0,984;0,983;0,983;0,984;0,975;0,975;0,983;0,984;0,985
minmax;RUSBoost;0,915;0,899;0,897;0,907;0,858;0,848;0,899;0,915;0,913
minmax;GradientBoostingClassifier;0,976;0,972;0,972;0,974;0,960;0,958;0,972;0,976;0,975
