Dataset: Wine,,,,,,,,,
Algorithm,Precision,Recall,F1,G-mean,MMCC,Kappa,Weighted Accuracy,PR Score,Balanced Accuracy
LogitBoost,0.96 ± 0.034,0.955 ± 0.039,0.956 ± 0.038,0.958 ± 0.037,0.934 ± 0.057,0.932 ± 0.059,0.955 ± 0.039,0.96 ± 0.034,0.96 ± 0.037
MEBoost,0.923 ± 0.034,0.894 ± 0.055,0.896 ± 0.053,0.908 ± 0.045,0.852 ± 0.074,0.839 ± 0.083,0.894 ± 0.055,0.923 ± 0.034,0.895 ± 0.058
AdaBoost,0.983 ± 0.023,0.983 ± 0.024,0.983 ± 0.024,0.983 ± 0.024,0.975 ± 0.036,0.975 ± 0.036,0.983 ± 0.024,0.983 ± 0.023,0.985 ± 0.021
RUSBoost,0.921 ± 0.018,0.904 ± 0.029,0.903 ± 0.03,0.912 ± 0.024,0.865 ± 0.037,0.856 ± 0.043,0.904 ± 0.029,0.921 ± 0.018,0.915 ± 0.027
GradientBoosting,0.981 ± 0.026,0.978 ± 0.031,0.978 ± 0.031,0.98 ± 0.029,0.968 ± 0.045,0.966 ± 0.047,0.978 ± 0.031,0.981 ± 0.026,0.981 ± 0.026
XGBClassifier,0.95 ± 0.024,0.95 ± 0.024,0.949 ± 0.024,0.95 ± 0.024,0.924 ± 0.036,0.923 ± 0.036,0.95 ± 0.024,0.95 ± 0.024,0.953 ± 0.023
CatBoost,0.967 ± 0.023,0.966 ± 0.024,0.966 ± 0.024,0.967 ± 0.023,0.949 ± 0.036,0.949 ± 0.036,0.966 ± 0.024,0.967 ± 0.023,0.969 ± 0.022
SMOTEBoost,0.82 ± 0.128,0.723 ± 0.196,0.649 ± 0.248,0.65 ± 0.248,0.615 ± 0.273,0.573 ± 0.302,0.723 ± 0.196,0.82 ± 0.128,0.731 ± 0.191
,,,,,,,,,
Dataset: Hayes_Roth,,,,,,,,,
Algorithm,Precision,Recall,F1,G-mean,MMCC,Kappa,Weighted Accuracy,PR Score,Balanced Accuracy
LogitBoost,0.913 ± 0.011,0.893 ± 0.023,0.891 ± 0.024,0.903 ± 0.017,0.848 ± 0.027,0.836 ± 0.035,0.893 ± 0.023,0.913 ± 0.011,0.908 ± 0.018
MEBoost,0.75 ± 0.022,0.534 ± 0.028,0.477 ± 0.042,0.623 ± 0.013,0.365 ± 0.035,0.254 ± 0.049,0.534 ± 0.028,0.75 ± 0.022,0.492 ± 0.036
AdaBoost,0.902 ± 0.029,0.862 ± 0.05,0.857 ± 0.054,0.881 ± 0.04,0.815 ± 0.062,0.789 ± 0.076,0.862 ± 0.05,0.902 ± 0.029,0.882 ± 0.042
RUSBoost,0.598 ± 0.017,0.504 ± 0.019,0.464 ± 0.011,0.547 ± 0.017,0.221 ± 0.034,0.198 ± 0.029,0.504 ± 0.019,0.598 ± 0.017,0.456 ± 0.012
GradientBoosting,0.884 ± 0.018,0.878 ± 0.022,0.878 ± 0.022,0.881 ± 0.02,0.816 ± 0.032,0.812 ± 0.034,0.878 ± 0.022,0.884 ± 0.018,0.89 ± 0.023
XGBClassifier,0.798 ± 0.05,0.786 ± 0.055,0.785 ± 0.056,0.792 ± 0.052,0.676 ± 0.083,0.669 ± 0.086,0.786 ± 0.055,0.798 ± 0.05,0.801 ± 0.057
CatBoost,0.782 ± 0.047,0.755 ± 0.062,0.755 ± 0.062,0.768 ± 0.055,0.632 ± 0.09,0.619 ± 0.097,0.755 ± 0.062,0.782 ± 0.047,0.758 ± 0.065
SMOTEBoost,0.807 ± 0.001,0.611 ± 0.004,0.482 ± 0.004,0.496 ± 0.004,0.551 ± 0.001,0.404 ± 0.002,0.611 ± 0.004,0.807 ± 0.001,0.667 ± 0.0
,,,,,,,,,
