Dataset,MeanIR,Top Algorithm,F1 best performance,F1 baseline
Pen-Based,0.961,AdaBoost,0.995 ± 0.007,0.989 ± 0.001
Hayes,0.856,AdaBoost,0.908 ± 0.037,0.891 ± 0.024
Wine,0.836,AdaBoost,0.989 ± 0.015,0.983 ± 0.024
Contraceptive,0.781,GradientBoost,0.681 ± 0.134,0.461 ± 0.061
Balance_Scale,0.723,AdaBoost,0.956 ± 0.007,0.857 ± 0.025
Differentiated,0.696,GradientBoost,0.987 ± 0.009,0.979 ± 0.015
Vertebral,0.689,AdaBoost,0.904 ± 0.055,0.862 ± 0.016
Dermatology,0.538,AdaBoost,0.987 ± 0.016,0.98 ± 0.017
Thyroid,0.478,AdaBoost,0.981 ± 0.018,0.962 ± 0.014
Glass,0.469,AdaBoost,0.841 ± 0.079,0.744 ± 0.104
Heart,0.371,AdaBoost,0.824 ± 0.248,0.561 ± 0.11
Car,0.357,AdaBoost,0.974 ± 0.008,0.974 ± 0.008
Yeast,0.321,AdaBoost,0.836 ± 0.202,0.582 ± 0.039
Statlog,0.182,GradientBoost,0.998 ± 0.0,0.998 ± 0.0
Covertype,0.293,GradientBoost,0.805 ± 0.005,0.87 ± 0.0
