Preprocessor,Boosters,Precision,Recall,F1,G-mean,MMCC,Kappa,Weighted Accuracy,PR Score,Balanced Accuracy
standard,LogitBoost,0.9285971800212276,0.5729358360937309,0.6615710697579602,0.7064768176380078,0.5106552568537964,0.4176951714201378,0.5729358360937309,0.9285971800212276,0.6851851851851851
standard,MEBoost,0.8026595385898573,0.31378818549871185,0.3532695267147173,0.4381568836717889,0.21078673954293495,0.1372882861179828,0.31378818549871185,0.8026595385898573,0.42864923747276684
standard,AdaBoost,0.8621877188696799,0.8560069316648263,0.8571134683200633,0.8590391666585813,0.7491726453531607,0.7477974340477784,0.8560069316648263,0.8621877188696799,0.7366557734204792
standard,RUSBoost,0.641464938751083,0.5857180100601154,0.555206000288945,0.5874533673538073,0.28027384450347853,0.2550731999583203,0.5857180100601154,0.641464938751083,0.4236111111111111
standard,GradientBoostingClassifier,0.8427812512171319,0.8351735983314931,0.8366230029466165,0.8388897296748185,0.7148564813048784,0.7129831293632325,0.8351735983314931,0.8427812512171319,0.7431236383442266
minmax,LogitBoost,0.9285971800212276,0.5729358360937309,0.6615710697579602,0.7064768176380078,0.5106552568537964,0.4176951714201378,0.5729358360937309,0.9285971800212276,0.6851851851851851
minmax,MEBoost,0.7815173958068066,0.3088961477119372,0.3748220708749475,0.43994927092186575,0.2171848350754194,0.13995125043170667,0.3088961477119372,0.7815173958068066,0.43137254901960786
minmax,AdaBoost,0.8621877188696799,0.8560069316648263,0.8571134683200633,0.8590391666585813,0.7491726453531607,0.7477974340477784,0.8560069316648263,0.8621877188696799,0.7366557734204792
minmax,RUSBoost,0.641464938751083,0.5857180100601154,0.555206000288945,0.5874533673538073,0.28027384450347853,0.2550731999583203,0.5857180100601154,0.641464938751083,0.4236111111111111
minmax,GradientBoostingClassifier,0.8427812512171319,0.8351735983314931,0.8366230029466165,0.8388897296748185,0.7148564813048784,0.7129831293632325,0.8351735983314931,0.8427812512171319,0.7431236383442266
robust,LogitBoost,0.9285971800212276,0.5729358360937309,0.6615710697579602,0.7064768176380078,0.5106552568537964,0.4176951714201378,0.5729358360937309,0.9285971800212276,0.6851851851851851
