Preprocessor,Boosters,Precision,Recall,F1,G-mean,MMCC,Kappa,Weighted Accuracy,PR Score,Balanced Accuracy
standard,LogitBoost,0.9058318626330181,0.8478009259259259,0.8355729642158641,0.8567534365114704,0.7100860928431595,0.6861556898906419,0.8478009259259259,0.9058318626330181,0.5310084336154282
standard,MEBoost,0.8543310768077735,0.5758101851851852,0.5830247820401068,0.6610233180039075,0.4040529748736426,0.3039339975723128,0.5758101851851852,0.8543310768077735,0.3762473486802775
standard,AdaBoost,0.8823643326236169,0.8755787037037037,0.8664674177715964,0.8789443881045398,0.7370911499802858,0.7305361382055565,0.8755787037037037,0.8823643326236169,0.5701780329472607
standard,RUSBoost,0.8119948945912475,0.47222222222222215,0.4794837246745518,0.5866208363974202,0.3091029424137515,0.21639511734392636,0.47222222222222215,0.8119948945912475,0.33925836752409727
standard,GradientBoostingClassifier,0.8799786986028542,0.8443287037037036,0.818497877015897,0.8228447094023599,0.6630572246023242,0.6540877060759381,0.8443287037037036,0.8799786986028542,0.447663418927966
minmax,LogitBoost,0.9058318626330181,0.8478009259259259,0.8355729642158641,0.8567534365114704,0.7100860928431595,0.6861556898906419,0.8478009259259259,0.9058318626330181,0.5310084336154282
minmax,MEBoost,0.8906660812480439,0.795138888888889,0.7820663845799029,0.8040262658341324,0.6284354390768252,0.5916940511448088,0.795138888888889,0.8906660812480439,0.4527666495712847
minmax,AdaBoost,0.8823643326236169,0.8755787037037037,0.8664674177715964,0.8789443881045398,0.7370911499802858,0.7305361382055565,0.8755787037037037,0.8823643326236169,0.5701780329472607
minmax,RUSBoost,0.8119948945912475,0.47222222222222215,0.4794837246745518,0.5866208363974202,0.3091029424137515,0.21639511734392636,0.47222222222222215,0.8119948945912475,0.33925836752409727
minmax,GradientBoostingClassifier,0.8799786986028542,0.8443287037037036,0.818497877015897,0.8228447094023599,0.6630572246023242,0.6540877060759381,0.8443287037037036,0.8799786986028542,0.447663418927966
robust,LogitBoost,0.9036901670395737,0.8466435185185185,0.8329498618530291,0.8551143527293181,0.705251419610641,0.682280674024482,0.8466435185185185,0.9036901670395737,0.5185188021111797
robust,MEBoost,0.8906660812480439,0.795138888888889,0.7820663845799029,0.8040262658341324,0.6284354390768252,0.5916940511448088,0.795138888888889,0.8906660812480439,0.4527666495712847
robust,AdaBoost,0.8800570070146744,0.8744212962962964,0.8651029088705612,0.877218843470699,0.7330225784213944,0.7270184934866135,0.8744212962962964,0.8800570070146744,0.5679874312102879
robust,RUSBoost,0.8119948945912475,0.47222222222222215,0.4794837246745518,0.5866208363974202,0.3091029424137515,0.21639511734392636,0.47222222222222215,0.8119948945912475,0.33925836752409727
robust,GradientBoostingClassifier,0.8792607527836102,0.84375,0.8179108444281633,0.8221920569896651,0.6614728816210804,0.6525872131529812,0.84375,0.8792607527836102,0.44701237726129933
normalizer,LogitBoost,0.9124137149337294,0.8553240740740741,0.8484823680963429,0.8829417146810604,0.725306818187304,0.7026008824341808,0.8553240740740741,0.9124137149337294,0.582333032268287
normalizer,MEBoost,0.8837085948203955,0.798611111111111,0.7841517648031684,0.8023581994235401,0.622074524538046,0.5919278647582619,0.798611111111111,0.8837085948203955,0.4486787931274517
