Preprocessor,Boosters,Precision,Recall,F1,G-mean,MMCC,Kappa,Weighted Accuracy,PR Score,Balanced Accuracy
standard,LogitBoost,0.4630143595920579,0.4276985743380855,0.2642276864470104,0.34888505059013725,0.0135092808026683,0.00296183639094579,0.4276985743380855,0.4630143595920579,0.33471478259919946
standard,MEBoost,0.5280218968990092,0.4270196877121521,0.29410514436986235,0.35339835414849824,0.019524508585914684,0.009950873133577972,0.4270196877121521,0.5280218968990092,0.33773376797112603
standard,AdaBoost,0.5944547892743095,0.461642905634759,0.35861833280361094,0.41585557127150513,0.10180790094470271,0.08039091273642107,0.461642905634759,0.5944547892743095,0.37948925028388397
standard,RUSBoost,0.6309788918658459,0.48133061778682956,0.41899613015390386,0.4288058023433572,0.23658246365775012,0.21054350109186967,0.48133061778682956,0.6309788918658459,0.48425842110052636
standard,GradientBoostingClassifier,0.5498572307102537,0.49762389680923286,0.4322672827371519,0.5223627015047719,0.20104485200290653,0.1536377047050441,0.49762389680923286,0.5498572307102537,0.42222189084934186
minmax,LogitBoost,0.4630143595920579,0.4276985743380855,0.2642276864470104,0.34888505059013725,0.0135092808026683,0.00296183639094579,0.4276985743380855,0.4630143595920579,0.33471478259919946
minmax,MEBoost,0.5254707292245205,0.42634080108621863,0.2937802842743853,0.35147304239025906,0.01727802596324508,0.008958213643581478,0.42634080108621863,0.5254707292245205,0.3372021358605466
minmax,AdaBoost,0.5944547892743095,0.461642905634759,0.35861833280361094,0.41585557127150513,0.10180790094470271,0.08039091273642107,0.461642905634759,0.5944547892743095,0.37948925028388397
minmax,RUSBoost,0.6309788918658459,0.48133061778682956,0.41899613015390386,0.4288058023433572,0.23658246365775012,0.21054350109186967,0.48133061778682956,0.6309788918658459,0.48425842110052636
minmax,GradientBoostingClassifier,0.5485788554566492,0.4962661235573658,0.4274653749684277,0.5210121020504558,0.19936997071819165,0.14988661340746953,0.4962661235573658,0.5485788554566492,0.4191484006757485
robust,LogitBoost,0.44366609075295393,0.427019687712152,0.2629159394070711,0.3390684337021166,0.008074749906548676,0.0017817465022251418,0.427019687712152,0.44366609075295393,0.33406501001960237
robust,MEBoost,0.5224240445540979,0.4256619144602851,0.29179008745312607,0.3491904261335097,0.014817466835975844,0.007519844197781844,0.4256619144602851,0.5224240445540979,0.33643422281193175
robust,AdaBoost,0.5944547892743095,0.461642905634759,0.35861833280361094,0.41585557127150513,0.10180790094470271,0.08039091273642107,0.461642905634759,0.5944547892743095,0.37948925028388397
robust,RUSBoost,0.6217933246264722,0.4813306177868297,0.4216153232015906,0.42539911160399285,0.23128120403385286,0.20950627020789714,0.4813306177868297,0.6217933246264722,0.4822804121049735
robust,GradientBoostingClassifier,0.55112893834633,0.4983027834351663,0.4320528293790276,0.5233168234985586,0.20287471326341033,0.1543216989407362,0.4983027834351663,0.55112893834633,0.42251088824876243
