Preprocessor,Boosters,Precision,Recall,F1,G-mean,MMCC,Kappa,Weighted Accuracy,PR Score,Balanced Accuracy
standard,LogitBoost,0.9796137315741898,0.9791666666666666,0.9788783037809038,0.9793900532441233,0.9483489728706221,0.9471253071253072,0.9791666666666666,0.9796137315741898,0.9657809983896941
standard,MEBoost,0.940730367984305,0.9373154527559056,0.935146061963069,0.9390179590441177,0.8446838677405634,0.8358395499494214,0.9373154527559056,0.940730367984305,0.894524959742351
standard,AdaBoost,0.9696471788173106,0.9687089895013123,0.9689546670382141,0.9691775338469526,0.9244640247729605,0.9239427585071985,0.9687089895013123,0.9696471788173106,0.9669688202296899
standard,RUSBoost,0.9476879647856519,0.9451279527559056,0.9434105332085899,0.9464041771001171,0.8639315868947323,0.8570975730559683,0.9451279527559056,0.9476879647856519,0.90841384863124
standard,GradientBoostingClassifier,0.9619608724742376,0.9608349737532809,0.9604886231361123,0.9613974816574243,0.9038959304201893,0.9017419112085953,0.9608349737532809,0.9619608724742376,0.9418276972624798
minmax,LogitBoost,0.9798978368002276,0.9791461614173228,0.9788541613569159,0.9795218028330127,0.9487019935012447,0.947099469621139,0.9791461614173228,0.9798978368002276,0.9657610907610907
minmax,MEBoost,0.9429396325459317,0.9399606299212598,0.9380523963072144,0.9414465507469464,0.8511617499553742,0.8433475070525525,0.9399606299212598,0.9429396325459317,0.8991545893719807
minmax,AdaBoost,0.967004574360259,0.9660843175853019,0.9662960580113062,0.9665438954133977,0.9178987708583392,0.9173175379755597,0.9660843175853019,0.967004574360259,0.9623391906000602
minmax,RUSBoost,0.9476879647856519,0.9451279527559056,0.9434105332085899,0.9464041771001171,0.8639315868947323,0.8570975730559683,0.9451279527559056,0.9476879647856519,0.90841384863124
minmax,GradientBoostingClassifier,0.9619608724742376,0.9608349737532809,0.9604886231361123,0.9613974816574243,0.9038959304201893,0.9017419112085953,0.9608349737532809,0.9619608724742376,0.9418276972624798
robust,LogitBoost,0.977315116920073,0.9765214895013123,0.9761723011273009,0.9769181010293059,0.9421551876040285,0.940363899086963,0.9765214895013123,0.977315116920073,0.9583333333333334
robust,MEBoost,0.9429396325459317,0.9399606299212598,0.9380523963072144,0.9414465507469464,0.8511617499553742,0.8433475070525525,0.9399606299212598,0.9429396325459317,0.8991545893719807
robust,AdaBoost,0.9695166290899867,0.9687089895013123,0.9688885996518878,0.9691122683809366,0.924139195555841,0.9236160064084727,0.9687089895013123,0.9695166290899867,0.9641507848029587
robust,RUSBoost,0.9476879647856519,0.9451279527559056,0.9434105332085899,0.9464041771001171,0.8639315868947323,0.8570975730559683,0.9451279527559056,0.9476879647856519,0.90841384863124
robust,GradientBoostingClassifier,0.9669087217769256,0.9660433070866142,0.9655654010618636,0.9664756000672868,0.9161299413230807,0.91397177547519,0.9660433070866142,0.9669087217769256,0.945450885668277
normalizer,LogitBoost,0.9895963704630789,0.9895833333333334,0.9894905273937532,0.9895898517666216,0.9740295705403231,0.9737919737919739,0.9895833333333334,0.9895963704630789,0.9842995169082126
normalizer,MEBoost,0.8861666972026224,0.8642962598425198,0.8479868743548963,0.8750851023322787,0.6595481139526181,0.6057070858016859,0.8642962598425198,0.8861666972026224,0.7592592592592592
normalizer,AdaBoost,0.9949024822695035,0.9947916666666666,0.9947452636968767,0.9948470651133997,0.9871437211055992,0.9868959868959869,0.9947916666666666,0.9949024822695035,0.9907407407407408
normalizer,RUSBoost,0.9476879647856519,0.9451279527559056,0.9434105332085899,0.9464041771001171,0.8639315868947323,0.8570975730559683,0.9451279527559056,0.9476879647856519,0.90841384863124
normalizer,GradientBoostingClassifier,0.9818222372598072,0.9817298228346457,0.9816495171240867,0.9817760204324862,0.9547926453876933,0.9544852952282916,0.9817298228346457,0.9818222372598072,0.9732087558174515
power,LogitBoost,0.9796137315741898,0.9791666666666666,0.9788783037809038,0.9793900532441233,0.9483489728706221,0.9471253071253072,0.9791666666666666,0.9796137315741898,0.9657809983896941
power,MEBoost,0.9429396325459317,0.9399606299212598,0.9380523963072144,0.9414465507469464,0.8511617499553742,0.8433475070525525,0.9399606299212598,0.9429396325459317,0.8991545893719807
power,AdaBoost,0.9696471788173106,0.9687089895013123,0.9689546670382141,0.9691775338469526,0.9244640247729605,0.9239427585071985,0.9687089895013123,0.9696471788173106,0.9669688202296899
power,RUSBoost,0.9476879647856519,0.9451279527559056,0.9434105332085899,0.9464041771001171,0.8639315868947323,0.8570975730559683,0.9451279527559056,0.9476879647856519,0.90841384863124
power,GradientBoostingClassifier,0.9619608724742376,0.9608349737532809,0.9604886231361123,0.9613974816574243,0.9038959304201893,0.9017419112085953,0.9608349737532809,0.9619608724742376,0.9418276972624798
quantile,LogitBoost,0.9796137315741898,0.9791666666666666,0.9788783037809038,0.9793900532441233,0.9483489728706221,0.9471253071253072,0.9791666666666666,0.9796137315741898,0.9657809983896941
quantile,MEBoost,0.9441124454896009,0.9425442913385828,0.9410702990484454,0.9433273503504752,0.856746724294596,0.8515236830977333,0.9425442913385828,0.9441124454896009,0.9065823467997381
quantile,AdaBoost,0.9721391969343287,0.971313156167979,0.9715266690593234,0.9717256358964956,0.9306855606864276,0.9302219874888488,0.971313156167979,0.9721391969343287,0.9687804144325883
quantile,RUSBoost,0.9476879647856519,0.9451279527559056,0.9434105332085899,0.9464041771001171,0.8639315868947323,0.8570975730559683,0.9451279527559056,0.9476879647856519,0.90841384863124
quantile,GradientBoostingClassifier,0.9669087217769256,0.9660433070866142,0.9655654010618636,0.9664756000672868,0.9161299413230807,0.91397177547519,0.9660433070866142,0.9669087217769256,0.945450885668277
polynomial,LogitBoost,0.9825528259121152,0.9817708333333334,0.9814108116186434,0.9821614690430126,0.955052988499336,0.9532684122848057,0.9817708333333334,0.9825528259121152,0.9675925925925926
polynomial,MEBoost,0.9491830592501306,0.9451484580052494,0.9430964977536958,0.9471608929341998,0.8650555198135234,0.8556946002886733,0.9451484580052494,0.9491830592501306,0.9027777777777777
polynomial,AdaBoost,0.9816596262160778,0.9817708333333334,0.9816917269382058,0.9817152199611209,0.9545816796824783,0.9545269995939911,0.9817708333333334,0.9816596262160778,0.976046698872786
polynomial,RUSBoost,0.9476879647856519,0.9451279527559056,0.9434105332085899,0.9464041771001171,0.8639315868947323,0.8570975730559683,0.9451279527559056,0.9476879647856519,0.90841384863124
polynomial,GradientBoostingClassifier,0.9820071664751953,0.9817503280839895,0.9815979431286991,0.9818786996768446,0.9548473392102285,0.9541692254688184,0.9817503280839895,0.9820071664751953,0.9704106280193235
