Preprocessor,Boosters,Precision,Recall,F1,G-mean,MMCC,Kappa,Weighted Accuracy,PR Score,Balanced Accuracy
standard,LogitBoost,0.9127215501756506,0.8928823114869626,0.8910403688631963,0.9026359142994421,0.8484196359704272,0.8356558795061467,0.8928823114869626,0.9127215501756506,0.9084967320261438
standard,MEBoost,0.7898972713310268,0.5956659619450317,0.5525058963320101,0.6779256577672842,0.4572325716623015,0.3540245708815634,0.5956659619450317,0.7898972713310268,0.5529411764705884
standard,AdaBoost,0.9017211293930202,0.8624031007751939,0.8565084076461921,0.8814825564671066,0.8150251933295354,0.7889024692832921,0.8624031007751939,0.9017211293930202,0.8823529411764706
standard,RUSBoost,0.6092357777924106,0.5190274841437632,0.48934730066387727,0.5603995152587181,0.24999469078479142,0.22550237094161918,0.5190274841437632,0.6092357777924106,0.4781045751633987
standard,GradientBoostingClassifier,0.8843601488950327,0.8777307963354475,0.8775557639694727,0.8810192196429828,0.815577271842586,0.8118293518356016,0.8777307963354475,0.8843601488950327,0.8904411764705883
minmax,LogitBoost,0.9127215501756506,0.8928823114869626,0.8910403688631963,0.9026359142994421,0.8484196359704272,0.8356558795061467,0.8928823114869626,0.9127215501756506,0.9084967320261438
minmax,MEBoost,0.7997246068863405,0.618569415081043,0.5791248190646837,0.6969844470981199,0.48436577924158625,0.3881068819905826,0.618569415081043,0.7997246068863405,0.5633986928104576
minmax,AdaBoost,0.9017211293930202,0.8624031007751939,0.8565084076461921,0.8814825564671066,0.8150251933295354,0.7889024692832921,0.8624031007751939,0.9017211293930202,0.8823529411764706
minmax,RUSBoost,0.6092357777924106,0.5190274841437632,0.48934730066387727,0.5603995152587181,0.24999469078479142,0.22550237094161918,0.5190274841437632,0.6092357777924106,0.4781045751633987
minmax,GradientBoostingClassifier,0.8843601488950327,0.8777307963354475,0.8775557639694727,0.8810192196429828,0.815577271842586,0.8118293518356016,0.8777307963354475,0.8843601488950327,0.8904411764705883
robust,LogitBoost,0.9127215501756506,0.8928823114869626,0.8910403688631963,0.9026359142994421,0.8484196359704272,0.8356558795061467,0.8928823114869626,0.9127215501756506,0.9084967320261438
robust,MEBoost,0.7997246068863405,0.618569415081043,0.5791248190646837,0.6969844470981199,0.48436577924158625,0.3881068819905826,0.618569415081043,0.7997246068863405,0.5633986928104576
robust,AdaBoost,0.9017211293930202,0.8624031007751939,0.8565084076461921,0.8814825564671066,0.8150251933295354,0.7889024692832921,0.8624031007751939,0.9017211293930202,0.8823529411764706
robust,RUSBoost,0.6092357777924106,0.5190274841437632,0.48934730066387727,0.5603995152587181,0.24999469078479142,0.22550237094161918,0.5190274841437632,0.6092357777924106,0.4781045751633987
robust,GradientBoostingClassifier,0.8843601488950327,0.8777307963354475,0.8775557639694727,0.8810192196429828,0.815577271842586,0.8118293518356016,0.8777307963354475,0.8843601488950327,0.8904411764705883
normalizer,LogitBoost,0.8770961972996858,0.8546511627906977,0.8524856697950809,0.8656374752492343,0.7906693286071375,0.7764130057508699,0.8546511627906977,0.8770961972996858,0.870016339869281
normalizer,MEBoost,0.7481381506090808,0.5422832980972516,0.49045306878699074,0.6267840520141533,0.36093547544025745,0.26518818988804205,0.5422832980972516,0.7481381506090808,0.49722222222222223
normalizer,AdaBoost,0.8858802551657509,0.8624031007751939,0.8591463141956087,0.873887242292171,0.8011804288698828,0.786547970166582,0.8624031007751939,0.8858802551657509,0.8657679738562091
normalizer,RUSBoost,0.7107471574702018,0.6261451726568005,0.6169291293994495,0.665224436088902,0.44202316725627416,0.40620449560559063,0.6261451726568005,0.7107471574702018,0.6070261437908496
normalizer,GradientBoostingClassifier,0.8962750078302405,0.877554615926709,0.8748107952748803,0.8866909795683894,0.8223206003422527,0.810463634769529,0.877554615926709,0.8962750078302405,0.8834150326797384
power,LogitBoost,0.9127215501756506,0.8928823114869626,0.8910403688631963,0.9026359142994421,0.8484196359704272,0.8356558795061467,0.8928823114869626,0.9127215501756506,0.9084967320261438
power,MEBoost,0.7898972713310268,0.5956659619450317,0.5525058963320101,0.6779256577672842,0.4572325716623015,0.3540245708815634,0.5956659619450317,0.7898972713310268,0.5529411764705884
power,AdaBoost,0.9017211293930202,0.8624031007751939,0.8565084076461921,0.8814825564671066,0.8150251933295354,0.7889024692832921,0.8624031007751939,0.9017211293930202,0.8823529411764706
power,RUSBoost,0.6092357777924106,0.5190274841437632,0.48934730066387727,0.5603995152587181,0.24999469078479142,0.22550237094161918,0.5190274841437632,0.6092357777924106,0.4781045751633987
power,GradientBoostingClassifier,0.8843601488950327,0.8777307963354475,0.8775557639694727,0.8810192196429828,0.815577271842586,0.8118293518356016,0.8777307963354475,0.8843601488950327,0.8904411764705883
quantile,LogitBoost,0.9127215501756506,0.8928823114869626,0.8910403688631963,0.9026359142994421,0.8484196359704272,0.8356558795061467,0.8928823114869626,0.9127215501756506,0.9084967320261438
quantile,MEBoost,0.7997246068863405,0.618569415081043,0.5791248190646837,0.6969844470981199,0.48436577924158625,0.3881068819905826,0.618569415081043,0.7997246068863405,0.5633986928104576
quantile,AdaBoost,0.9017211293930202,0.8624031007751939,0.8565084076461921,0.8814825564671066,0.8150251933295354,0.7889024692832921,0.8624031007751939,0.9017211293930202,0.8823529411764706
quantile,RUSBoost,0.6092357777924106,0.5190274841437632,0.48934730066387727,0.5603995152587181,0.24999469078479142,0.22550237094161918,0.5190274841437632,0.6092357777924106,0.4781045751633987
quantile,GradientBoostingClassifier,0.8843601488950327,0.8777307963354475,0.8775557639694727,0.8810192196429828,0.815577271842586,0.8118293518356016,0.8777307963354475,0.8843601488950327,0.8904411764705883
polynomial,LogitBoost,0.9072989026477399,0.8853065539112052,0.883959124939847,0.8961277714574806,0.8370820754808402,0.823670978820442,0.8853065539112052,0.9072989026477399,0.8973856209150326
polynomial,MEBoost,0.771111569466646,0.4274136715997181,0.29268651659586076,0.40316524993777464,0.21687572280250642,0.0842583849390736,0.4274136715997181,0.771111569466646,0.39999999999999997
polynomial,AdaBoost,0.8997338076631355,0.8699788583509513,0.8662482417811875,0.8844978075121045,0.8200872403643985,0.8005611868243626,0.8699788583509513,0.8997338076631355,0.8888888888888888
polynomial,RUSBoost,0.7361931888094678,0.6118745595489782,0.5858696580246318,0.6653405941979228,0.4250558629349695,0.37688682844993515,0.6118745595489782,0.7361931888094678,0.5731209150326797
polynomial,GradientBoostingClassifier,0.9019737852586691,0.8928823114869626,0.8921543893104965,0.8973937894058239,0.8414469316338762,0.8355382066913036,0.8928823114869626,0.9019737852586691,0.9080882352941176
kbins,LogitBoost,0.8957860468167023,0.8701550387596898,0.867246115543081,0.8827607763807109,0.8176841778499654,0.8006797268829354,0.8701550387596898,0.8957860468167023,0.8888888888888888
kbins,MEBoost,0.7162897995517333,0.534355179704017,0.485787709220207,0.6115423949007533,0.33690143637607245,0.2532846005952893,0.534355179704017,0.7162897995517333,0.4910947712418301
kbins,AdaBoost,0.9017211293930202,0.8624031007751939,0.8565084076461921,0.8814825564671066,0.8150251933295354,0.7889024692832921,0.8624031007751939,0.9017211293930202,0.8823529411764706
kbins,RUSBoost,0.6092357777924106,0.5190274841437632,0.48934730066387727,0.5603995152587181,0.24999469078479142,0.22550237094161918,0.5190274841437632,0.6092357777924106,0.4781045751633987
kbins,GradientBoostingClassifier,0.8843601488950327,0.8777307963354475,0.8775557639694727,0.8810192196429828,0.815577271842586,0.8118293518356016,0.8777307963354475,0.8843601488950327,0.8904411764705883
