Preprocessor,Boosters,Precision,Recall,F1,G-mean,MMCC,Kappa,Weighted Accuracy,PR Score,Balanced Accuracy
standard,LogitBoost,0.9472432358263964,0.9052947598253276,0.9156024880823003,0.925649916836575,0.899722013997764,0.8947062618406448,0.9052947598253276,0.9472432358263964,0.9051684398553212
standard,MEBoost,0.792845113971744,0.1250909752547307,0.07045644854431021,0.15010843695045628,0.05727498100378569,0.0240846313619368,0.1250909752547307,0.792845113971744,0.12350721147473116
standard,AdaBoost,0.9232393155299752,0.9078420669577875,0.9109564082937528,0.9154527197656365,0.8991597788731753,0.8975501217096419,0.9078420669577875,0.9232393155299752,0.9073766934890012
standard,RUSBoost,0.5233449648373923,0.4816229985443959,0.38714135334390026,0.5015828577183242,0.4403345425919205,0.4225652068283008,0.4816229985443959,0.5233449648373923,0.4719965555262493
standard,GradientBoostingClassifier,0.8796542540663395,0.7756550218340611,0.8001310119572086,0.8243038328178024,0.7655504855764149,0.7504263945099314,0.7756550218340611,0.8796542540663395,0.7738754370018116
minmax,LogitBoost,0.9475218134609857,0.9058406113537117,0.9160897645086618,0.9260654913052431,0.9002955021410944,0.8953131504635513,0.9058406113537117,0.9475218134609857,0.9057155375398861
minmax,MEBoost,0.844337029295675,0.13373362445414846,0.053346868253280076,0.13519095897201974,0.08026857977826145,0.03382767598831826,0.13373362445414846,0.844337029295675,0.13106970675868315
minmax,AdaBoost,0.923803853168307,0.9086608442503638,0.9117143628631128,0.9161457775906383,0.9000442167206231,0.8984604029780012,0.9086608442503638,0.923803853168307,0.9081859885732307
minmax,RUSBoost,0.5236413051921845,0.4820778748180495,0.38787592565722395,0.5019658857124579,0.4408334447279904,0.4230724923868963,0.4820778748180495,0.5236413051921845,0.47244193901210796
minmax,GradientBoostingClassifier,0.8795716365147629,0.7757459970887918,0.800147193571198,0.8243209238609884,0.7656213806741373,0.7505280033106855,0.7757459970887918,0.8795716365147629,0.7739633841236047
robust,LogitBoost,0.9454307349319667,0.9012008733624454,0.9121303567817276,0.9226638405597448,0.895436605032765,0.8901535418884623,0.9012008733624454,0.9454307349319667,0.9010351182463312
robust,MEBoost,0.8453885832242695,0.13373362445414846,0.05355690262274104,0.1357414731846782,0.08028976685004569,0.033826926907879584,0.13373362445414846,0.8453885832242695,0.1310699765506196
robust,AdaBoost,0.9215914901520961,0.9057496360989811,0.9088770960570588,0.9135809458927673,0.896899866356136,0.895223454709391,0.9057496360989811,0.9215914901520961,0.9052678140905273
robust,RUSBoost,0.5226723123193348,0.48235080058224167,0.3878203929163866,0.5016480223872835,0.4411744809200033,0.42338242788243674,0.48235080058224167,0.5226723123193348,0.47271832198905384
robust,GradientBoostingClassifier,0.8785921792552157,0.7730167394468704,0.7977386499268819,0.8223608879259814,0.7629392381477856,0.7474892953864906,0.7730167394468704,0.8785921792552157,0.7712419757434344
normalizer,LogitBoost,0.9471268436241994,0.9015647743813683,0.9127125653177988,0.9236136546454562,0.8961052862804207,0.8905557954317317,0.9015647743813683,0.9471268436241994,0.9012833568552017
normalizer,MEBoost,0.8056670526937331,0.13346069868995633,0.05976501567096231,0.14819759573563493,0.08445703625945372,0.03368844128087911,0.13346069868995633,0.8056670526937331,0.1316872201386637
normalizer,AdaBoost,0.9279249510782085,0.9085698689956332,0.9126007100406014,0.9180953055447514,0.9005038288590578,0.898358480863017,0.9085698689956332,0.9279249510782085,0.9079813745207971
normalizer,RUSBoost,0.6523300898982411,0.49281295487627363,0.42661418757566566,0.5080801248753883,0.4621607258225646,0.43474226466668653,0.49281295487627363,0.6523300898982411,0.4843729746915321
normalizer,GradientBoostingClassifier,0.8770272631827108,0.7612809315866085,0.7900092600257254,0.8149354147369618,0.7521617517061662,0.7344271420112127,0.7612809315866085,0.8770272631827108,0.7595274626094605
power,LogitBoost,0.946480464930695,0.9036572052401747,0.9141475974472083,0.9244397288979712,0.8980093855086343,0.8928852804028541,0.9036572052401747,0.946480464930695,0.9035060219050361
power,MEBoost,0.8546596198886826,0.15766011644832603,0.10617518795881338,0.19207966240630384,0.15476054449996382,0.0604897887610731,0.15766011644832603,0.8546596198886826,0.1562504482369968
power,AdaBoost,0.9226098896156286,0.9070232896652111,0.9101489030463572,0.9147278015045371,0.8982787739696817,0.8966397543106792,0.9070232896652111,0.9226098896156286,0.9065452351034091
