Preprocessor,Boosters,Precision,Recall,F1,G-mean,MMCC,Kappa,Weighted Accuracy,PR Score,Balanced Accuracy
standard,LogitBoost,0.9527809223949025,0.948943661971831,0.9465010058105287,0.9508571434683984,0.8903328085967286,0.8833436007947345,0.948943661971831,0.9527809223949025,0.8853535353535354
standard,MEBoost,0.9386831696895785,0.9349895670318206,0.9329320410415892,0.9368313762729364,0.8595321866435651,0.8533240236007451,0.9349895670318206,0.9386831696895785,0.8785185185185185
standard,AdaBoost,0.9653888462228699,0.96283255086072,0.9612821784979331,0.964107034584325,0.9200826308731774,0.9154202882761716,0.96283255086072,0.9653888462228699,0.9186868686868687
standard,RUSBoost,0.8464516925493958,0.8185967657798644,0.7570126143004713,0.7586631560578981,0.5832604170993809,0.5312587701561668,0.8185967657798644,0.8464516925493958,0.6106397306397306
standard,GradientBoostingClassifier,0.9606058604309115,0.9580725091288471,0.9565276264844812,0.9593370693556028,0.9096663585097846,0.9049479904829746,0.9580725091288471,0.9606058604309115,0.9104377104377105
minmax,LogitBoost,0.965055833117142,0.9627673448095982,0.9616300690575889,0.9639080053322341,0.9192932444563886,0.9153973653548144,0.9627673448095982,0.965055833117142,0.9247138047138047
minmax,MEBoost,0.9156045647637095,0.9117110067814292,0.9060085461125057,0.9136430188945912,0.8063072726571621,0.7982107807133358,0.9117110067814292,0.9156045647637095,0.8388888888888889
minmax,AdaBoost,0.9789562289562289,0.9768518518518517,0.9757566326193777,0.9779004833095435,0.9502408577233559,0.9465240641711231,0.9768518518518517,0.9789562289562289,0.9481481481481482
minmax,RUSBoost,0.8499716369846407,0.8232263954094939,0.761487280007021,0.7626788973573961,0.596022005857041,0.5459264554120874,0.8232263954094939,0.8499716369846407,0.6198989898989898
minmax,GradientBoostingClassifier,0.9777556419758876,0.9767866458007304,0.9762681716829356,0.9772706480769485,0.950360174538423,0.9486471423099614,0.9767866458007304,0.9777556419758876,0.9500000000000001
