Preprocessor,Boosters,Precision,Recall,F1,G-mean,MMCC,Kappa,Weighted Accuracy,PR Score,Balanced Accuracy
standard,LogitBoost,0.8711368728129337,0.8485810306198656,0.8486602132615882,0.859556056441131,0.7706823776343973,0.7618989348405097,0.8485810306198656,0.8711368728129337,0.8251832045949694
standard,MEBoost,0.8681479978022474,0.6548108040826488,0.5712367808087547,0.5949969386156427,0.5826583019055035,0.48478811947675177,0.6548108040826488,0.8681479978022474,0.6511111111111112
standard,AdaBoost,0.8725685335188696,0.8613393079412498,0.8615152849918731,0.8669122318405421,0.7842960674714533,0.7794226414748288,0.8613393079412498,0.8725685335188696,0.8280590215884334
standard,RUSBoost,0.8038195531892681,0.7354991287030122,0.7316392868932016,0.7677948623612068,0.6289479032327582,0.5969195951160358,0.7354991287030122,0.8038195531892681,0.7266924143394732
standard,GradientBoostingClassifier,0.8611282591768137,0.8581030619865571,0.8562932097351381,0.8595972702256639,0.7749933379712491,0.7720642728811127,0.8581030619865571,0.8611282591768137,0.8101188354129532
minmax,LogitBoost,0.8011402576952916,0.7579661438884738,0.7341732423336685,0.7787228152222992,0.6237539777411012,0.585748408655502,0.7579661438884738,0.8011402576952916,0.706833036244801
minmax,MEBoost,0.6824918538028845,0.6998070699527009,0.669393518301597,0.6905282308577583,0.5074670170209532,0.4890056080074925,0.6998070699527009,0.6824918538028845,0.6072846108140225
minmax,AdaBoost,0.8074400116493311,0.7869056509833209,0.7619992084363338,0.7968748698584661,0.6574925716294883,0.6282010499451967,0.7869056509833209,0.8074400116493311,0.7352980788274905
minmax,RUSBoost,0.7420994089104793,0.6966641772467015,0.6796116208749625,0.7182413911939837,0.5459383894853409,0.5116137491486095,0.6966641772467015,0.7420994089104793,0.6676351752822342
minmax,GradientBoostingClassifier,0.7913483664139949,0.7771969131192433,0.750910971791964,0.7839806349149362,0.6385130062438389,0.6107321916749594,0.7771969131192433,0.7913483664139949,0.705102000396118
robust,LogitBoost,0.8861456140154026,0.8615260144386357,0.8613778438034698,0.8735217743475898,0.7925444631882134,0.7826744178739053,0.8615260144386357,0.8861456140154026,0.8452168746286394
robust,MEBoost,0.7748016599318426,0.7742407269106298,0.7726922844970231,0.7744866422864058,0.6400108440515696,0.6381692734170147,0.7742407269106298,0.7748016599318426,0.695668449197861
robust,AdaBoost,0.8826499133887776,0.8678117998506348,0.86870318593738,0.8751512391434865,0.7961662852546402,0.7903130330071928,0.8678117998506348,0.8826499133887776,0.84469201822143
robust,RUSBoost,0.7987142011229406,0.7257592730893703,0.7238628911343815,0.7603021300941185,0.6152283688111183,0.582638866477882,0.7257592730893703,0.7987142011229406,0.7188809665280252
robust,GradientBoostingClassifier,0.8923520066626972,0.8839930296240976,0.8821491562111473,0.8881202483314791,0.8181148140378011,0.8132690223683418,0.8839930296240976,0.8923520066626972,0.8458090711031887
normalizer,LogitBoost,0.9016242390242962,0.8875715708239981,0.8874212807641827,0.8944086640255161,0.8298238502082887,0.8238676770199026,0.8875715708239981,0.9016242390242962,0.8655852644087938
normalizer,MEBoost,0.8048767440757733,0.7840428180234005,0.7897215026500869,0.7943012450006789,0.6642658477469812,0.659791142509051,0.7840428180234005,0.8048767440757733,0.7357615369380075
normalizer,AdaBoost,0.8674219403376195,0.8679673885984567,0.8663950732711304,0.8676870652581257,0.7886289344391056,0.7875152350989133,0.8679673885984567,0.8674219403376195,0.8204179045355516
