Preprocessor,Boosters,Precision,Recall,F1,G-mean,MMCC,Kappa,Weighted Accuracy,PR Score,Balanced Accuracy
standard,LogitBoost,0.9597547305174424,0.9553672316384181,0.9558853047459177,0.9575486806461111,0.9342039288748607,0.9323636775064775,0.9553672316384181,0.9597547305174424,0.9595209339774557
standard,MEBoost,0.9177188891878157,0.8714689265536723,0.8730194489704751,0.8933154453164424,0.8288657340495026,0.8064373885071513,0.8714689265536723,0.9177188891878157,0.878623188405797
standard,AdaBoost,0.9834185848252345,0.9833333333333334,0.9832402034529694,0.983375953342306,0.9748785317006111,0.9747474747474748,0.9833333333333334,0.9834185848252345,0.9851851851851853
standard,RUSBoost,0.9205069415770645,0.9044256120527306,0.9033384717511029,0.9123608607968586,0.8652651634617635,0.85601266654393,0.9044256120527306,0.9205069415770645,0.915257648953301
standard,GradientBoostingClassifier,0.9814814814814815,0.9777777777777779,0.9777777777777779,0.9796186719263642,0.9684684684684685,0.9664429530201343,0.9777777777777779,0.9814814814814815,0.9814814814814815
minmax,LogitBoost,0.9414469554300063,0.932768361581921,0.9332559121170146,0.9370832317835257,0.9024928048195249,0.8982942721420759,0.932768361581921,0.9414469554300063,0.9403985507246376
minmax,MEBoost,0.8992305622814097,0.8656308851224105,0.8676234608703162,0.8819553646743509,0.8112733175815939,0.7964159219142933,0.8656308851224105,0.8992305622814097,0.8692230273752014
minmax,AdaBoost,0.9838484546360918,0.9832391713747647,0.983264450285727,0.9835436693337009,0.974835680391417,0.974559765564576,0.9832391713747647,0.9838484546360918,0.9851851851851853
minmax,RUSBoost,0.9153382445256822,0.8987758945386064,0.8968456360060618,0.9069781800835042,0.8580968406242286,0.8479745122351824,0.8987758945386064,0.9153382445256822,0.9131441223832528
minmax,GradientBoostingClassifier,0.9760577526679223,0.9721280602636536,0.9720945859663348,0.9740819098123845,0.9599877486920021,0.9578172220259823,0.9721280602636536,0.9760577526679223,0.9745370370370371
robust,LogitBoost,0.9489309968123528,0.9440677966101695,0.9445796452904163,0.9464863944802007,0.9173244200261501,0.9152172159339839,0.9440677966101695,0.9489309968123528,0.9488420628866853
robust,MEBoost,0.890449336887554,0.8656308851224105,0.8685720535014613,0.8777261091687549,0.805190951971738,0.7957679345856398,0.8656308851224105,0.890449336887554,0.8664643190100856
robust,AdaBoost,0.9838350029277247,0.9832391713747647,0.9832582457427433,0.9835369491360452,0.9748573325277349,0.9745821496307631,0.9832391713747647,0.9838350029277247,0.9849838969404187
robust,RUSBoost,0.917141025216798,0.8987758945386064,0.8982367936389436,0.907806582053854,0.857419743739411,0.8473925704516062,0.8987758945386064,0.917141025216798,0.9083132045088567
robust,GradientBoostingClassifier,0.9650273518070129,0.9608286252354049,0.9607729254561267,0.9629169357020086,0.9429653680008564,0.9406560818281928,0.9608286252354049,0.9650273518070129,0.9627616747181964
normalizer,LogitBoost,0.967536231884058,0.9611111111111111,0.9615069983864309,0.9642889988909626,0.9430682901383918,0.9405772495755519,0.9611111111111111,0.967536231884058,0.9574074074074074
normalizer,MEBoost,0.8921390390316944,0.8373822975517892,0.8408704781618225,0.863732094483811,0.7776648659564412,0.7530563978206377,0.8373822975517892,0.8921390390316944,0.8323268921095007
normalizer,AdaBoost,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.9831081081081082,0.9831081081081082,0.9888888888888889,0.9888888888888889,0.9898148148148148
normalizer,RUSBoost,0.8969925241111683,0.8876647834274953,0.887012819550114,0.8923036668383301,0.8333838071410552,0.8287875281074052,0.8876647834274953,0.8969925241111683,0.8845505975082634
normalizer,GradientBoostingClassifier,0.9947089947089948,0.9944444444444445,0.9944530934671049,0.9945766662184573,0.9917055884587911,0.9915682967959528,0.9944444444444445,0.9947089947089948,0.9953703703703703
power,LogitBoost,0.9651219621558605,0.9610169491525423,0.9615226933620299,0.9630572160767287,0.9426385708057611,0.940940505533807,0.9610169491525423,0.9651219621558605,0.9641505636070854
power,MEBoost,0.9365313524447233,0.9159133709981168,0.9176822663596655,0.9260495191360539,0.8822966196890457,0.8728225402306119,0.9159133709981168,0.9365313524447233,0.9202898550724637
power,AdaBoost,0.9834185848252345,0.9833333333333334,0.9832402034529694,0.983375953342306,0.9748785317006111,0.9747474747474748,0.9833333333333334,0.9834185848252345,0.9851851851851853
power,RUSBoost,0.917141025216798,0.8987758945386064,0.8982367936389436,0.907806582053854,0.857419743739411,0.8473925704516062,0.8987758945386064,0.917141025216798,0.9083132045088567
power,GradientBoostingClassifier,0.9814814814814815,0.9777777777777779,0.9777777777777779,0.9796186719263642,0.9684684684684685,0.9664429530201343,0.9777777777777779,0.9814814814814815,0.9814814814814815
quantile,LogitBoost,0.9576156554491115,0.949623352165725,0.950048157942141,0.9535905913155734,0.9277174330099558,0.923772267730918,0.949623352165725,0.9576156554491115,0.9541963301974743
quantile,MEBoost,0.9028884266502745,0.87090395480226,0.8722456088930001,0.8865407383261248,0.8208713937535782,0.8052403227001675,0.87090395480226,0.9028884266502745,0.8782206119162641
quantile,AdaBoost,0.9892156862745098,0.9888888888888889,0.9889018389018389,0.9890522047643183,0.9832703223223174,0.9831365935919055,0.9888888888888889,0.9892156862745098,0.9898148148148148
quantile,RUSBoost,0.917141025216798,0.8987758945386064,0.8982367936389436,0.907806582053854,0.857419743739411,0.8473925704516062,0.8987758945386064,0.917141025216798,0.9083132045088567
quantile,GradientBoostingClassifier,0.9761007981346964,0.9721280602636536,0.9721341846186823,0.974103416298091,0.960055478673886,0.9578885090589916,0.9721280602636536,0.9761007981346964,0.9766505636070854
polynomial,LogitBoost,0.9777777777777779,0.9722222222222222,0.9728395061728395,0.974974974974975,0.9601986262736436,0.957841483979764,0.9722222222222222,0.9777777777777779,0.9722222222222222
polynomial,MEBoost,0.9523238531713109,0.9440677966101695,0.9445678188018762,0.9481470160623086,0.9194346868462352,0.9154242696194442,0.9440677966101695,0.9523238531713109,0.9500603864734299
polynomial,AdaBoost,0.9894802365390601,0.9888888888888889,0.9887992687568511,0.9891842916499128,0.9835950357319186,0.9831932773109244,0.9888888888888889,0.9894802365390601,0.9907407407407408
polynomial,RUSBoost,0.9273778951745054,0.921563088512241,0.9213350555377163,0.9244558126651924,0.8839487419673304,0.8807973317900576,0.921563088512241,0.9273778951745054,0.923208534621578
polynomial,GradientBoostingClassifier,0.9777777777777779,0.9722222222222222,0.9721504450186621,0.974974974974975,0.9612081639551177,0.9581239530988275,0.9722222222222222,0.9777777777777779,0.9768518518518517
kbins,LogitBoost,0.9555265826452267,0.9440677966101695,0.9448819642216555,0.9497371593216893,0.9209121521216606,0.9154763953421671,0.9440677966101695,0.9555265826452267,0.9484702093397747
