Preprocessor,Boosters,Precision,Recall,F1,G-mean,MMCC,Kappa,Weighted Accuracy,PR Score,Balanced Accuracy
standard,LogitBoost,0.6958690491761893,0.5276816750500961,0.48341292438371064,0.5916326760760428,0.43392898336709146,0.3555856619618898,0.5276816750500961,0.6958690491761893,0.4970807007500106
standard,MEBoost,0.7839474890056845,0.32345724450987606,0.16391486138699038,0.18365523264162734,0.10086073429113214,0.022599760138364882,0.32345724450987606,0.7839474890056845,0.24646125116713355
standard,AdaBoost,0.6485054679151739,0.597742608268924,0.5817426607191009,0.6106406992597316,0.48564209364612526,0.46572202812985813,0.597742608268924,0.6485054679151739,0.5338638359273905
standard,RUSBoost,0.7141174875221333,0.40364236153709837,0.2562710683561356,0.26070518815578964,0.26671324585572026,0.19131318122662797,0.40364236153709837,0.7141174875221333,0.2158796102344489
standard,GradientBoostingClassifier,0.6576296723920781,0.5849439059965374,0.566172233066028,0.6066321697824645,0.4658130155880638,0.44165316758160406,0.5849439059965374,0.6576296723920781,0.46755323858109477
minmax,LogitBoost,0.6690179525943926,0.5034065349854824,0.455522209080768,0.5660166293710218,0.39806812707299283,0.3205714883865424,0.5034065349854824,0.6690179525943926,0.45579882432687335
minmax,MEBoost,0.7444733093829466,0.323458607669134,0.16775834002935122,0.3419731256313853,0.09028804252209781,0.02250924489014039,0.323458607669134,0.7444733093829466,0.21419881825953932
minmax,AdaBoost,0.6338975490469166,0.5842623263675896,0.5654317967073702,0.5966086860556081,0.4681978841337628,0.4478507981889388,0.5842623263675896,0.6338975490469166,0.5003555238569869
minmax,RUSBoost,0.7137716675204698,0.40498779972464183,0.2575398558761976,0.2706566237813946,0.26906514301870943,0.1929499077806223,0.40498779972464183,0.7137716675204698,0.21844645515423503
minmax,GradientBoostingClassifier,0.6515027177868585,0.5755040281356071,0.5552742916225296,0.5986979637390232,0.45416980636575727,0.4284256926796446,0.5755040281356071,0.6515027177868585,0.4420345584029164
robust,LogitBoost,0.6966353709863675,0.5303820935399882,0.4865779172231733,0.5936152233293225,0.43714239101029095,0.35953932866134064,0.5303820935399882,0.6966353709863675,0.5006564713846048
robust,MEBoost,0.7831492419103677,0.32345724450987606,0.1652881470936631,0.36096582629759316,0.0954990477492812,0.022459954690937645,0.32345724450987606,0.7831492419103677,0.22886860767316175
robust,AdaBoost,0.6464940088251506,0.599762810289126,0.5845336700939369,0.6107057064082798,0.4869483580293634,0.4691582097715638,0.599762810289126,0.6464940088251506,0.5373375106428951
robust,RUSBoost,0.7139749910436639,0.4043157622104991,0.25641290469976435,0.2607146931989363,0.267953893269683,0.19211167497263934,0.4043157622104991,0.7139749910436639,0.21648567084050954
robust,GradientBoostingClassifier,0.6557861390715721,0.5862947968211126,0.5676742616362097,0.6064961964265688,0.46602213878009247,0.4433593923912286,0.5862947968211126,0.6557861390715721,0.4641150267199438
normalizer,LogitBoost,0.7208382820729745,0.5620564620564621,0.5265330133731045,0.6287091325132889,0.4798187625924182,0.40810651668585796,0.5620564620564621,0.7208382820729745,0.5750468756922684
normalizer,MEBoost,0.7683275273375498,0.3234613339876498,0.17027543205548246,0.36947751571798254,0.07822792148946123,0.021937492422323346,0.3234613339876498,0.7683275273375498,0.14621732044671112
normalizer,AdaBoost,0.6571689935641886,0.59842555105713,0.5870790959579444,0.6167868003149023,0.488194695896925,0.4667568042953813,0.59842555105713,0.6571689935641886,0.5539690221153019
normalizer,RUSBoost,0.5613310053235829,0.3854605433552802,0.29299121228871083,0.4518783830608874,0.23666653649224242,0.1940781480785236,0.3854605433552802,0.5613310053235829,0.33027218347837184
normalizer,GradientBoostingClassifier,0.6727459697926732,0.5923622186780082,0.5859815758466117,0.6208989799090231,0.4741791715456826,0.4491900802643382,0.5923622186780082,0.6727459697926732,0.49667401265229644
power,LogitBoost,0.6830336777335222,0.529033929033929,0.484600836570511,0.588771334980419,0.4341422986653747,0.35731426876068273,0.529033929033929,0.6830336777335222,0.45697163601780416
power,MEBoost,0.7737749978102507,0.3295301190038032,0.1730119288217253,0.30184926418797114,0.09482461086178924,0.03822807381005525,0.3295301190038032,0.7737749978102507,0.17879393640304456
power,AdaBoost,0.6404239436504581,0.5930260772366035,0.5769648656657019,0.6036511390565692,0.4778245311070419,0.4595832044655444,0.5930260772366035,0.6404239436504581,0.49480305998489404
power,RUSBoost,0.7104397898954918,0.4009460325249799,0.25380147945591863,0.25800659118203223,0.2632412380980456,0.18860833653185383,0.4009460325249799,0.7104397898954918,0.2026080052961773
power,GradientBoostingClassifier,0.6483471012960833,0.5782030834662414,0.5593001803315366,0.597123342895658,0.4548457466241261,0.43218969092063886,0.5782030834662414,0.6483471012960833,0.3842119364710808
quantile,LogitBoost,0.6913907292224648,0.5229596913807439,0.4766671174076606,0.5842923270882324,0.427738202407769,0.3487676685938071,0.5229596913807439,0.6913907292224648,0.4899037539979005
quantile,MEBoost,0.6889302211766659,0.32683242683242686,0.17492741809046022,0.33152109150409487,0.08762803715377954,0.028898308816144674,0.32683242683242686,0.6889302211766659,0.20704457465368284
quantile,AdaBoost,0.6486036062068254,0.597742608268924,0.5809380388542582,0.6106783770292274,0.48603487070196544,0.4657817275250123,0.597742608268924,0.6486036062068254,0.5321014553604558
quantile,RUSBoost,0.7144479757410819,0.40364099837784045,0.256491138715359,0.261006368728532,0.2666926270335612,0.19136685444627247,0.40364099837784045,0.7144479757410819,0.21587961023444893
quantile,GradientBoostingClassifier,0.654881544261732,0.582247576984419,0.5634109172891663,0.6039114763373187,0.4618822457440805,0.43791416158848057,0.582247576984419,0.654881544261732,0.46077422590075384
polynomial,LogitBoost,0.6961281957800489,0.5768903611008874,0.5402614960799399,0.6264032589667838,0.49263114321263785,0.4309290456674457,0.5768903611008874,0.6961281957800489,0.5945632340742207
polynomial,MEBoost,0.683488589503384,0.32615357352199453,0.17251414192375158,0.2615637346798901,0.10057469479535668,0.029896644663483074,0.32615357352199453,0.683488589503384,0.24527660164387974
polynomial,AdaBoost,0.6349426106598796,0.597074660232555,0.581457543280956,0.6070448668958015,0.48576705411037446,0.4684282096425519,0.597074660232555,0.6349426106598796,0.5533279775968616
polynomial,RUSBoost,0.6996916064438065,0.40835752941016096,0.26453665949296234,0.27836290603771174,0.27518209988746034,0.19778344560486374,0.40835752941016096,0.6996916064438065,0.23095982413819227
polynomial,GradientBoostingClassifier,0.6811804028554715,0.6233686391581128,0.6110735952143284,0.6396894661801672,0.5182861427599567,0.49843453998921455,0.6233686391581128,0.6811804028554715,0.5548444328113983
kbins,LogitBoost,0.6836760088624186,0.4286086233454655,0.3497628758813804,0.511315767150302,0.30276763536989354,0.20072001195873812,0.4286086233454655,0.6836760088624186,0.3434428622693743
kbins,MEBoost,0.7829450973350779,0.3214329530119004,0.16184972368631018,0.2402544876623629,0.09013538473681482,0.01946886578878419,0.3214329530119004,0.7829450973350779,0.2141450305966435
kbins,AdaBoost,0.6157075225956569,0.49329325645115124,0.4603379428339928,0.5374125418781209,0.3600846324264475,0.30537188323191594,0.49329325645115124,0.6157075225956569,0.39849542301162916
kbins,RUSBoost,0.6837100976314844,0.356494772284246,0.2503989252586976,0.27960292596857833,0.18001264341076806,0.13961669976476096,0.356494772284246,0.6837100976314844,0.32963677294300603
kbins,GradientBoostingClassifier,0.6430892253570789,0.49328644065486166,0.45687324736746104,0.5286489983689827,0.3596440478528939,0.3031190278891868,0.49328644065486166,0.6430892253570789,0.29932830390300447
